Date,Open,High,Low,Close,Volume,Open Interest
2017-06-13,28987.0,28991.0,28810.0,28944.0,8361.0,4418.0
2017-06-14,29050.0,29087.0,28880.0,29030.0,9733.0,4543.0
2017-06-15,28950.0,28950.0,28705.0,28768.0,10430.0,4566.0
2017-06-16,28770.0,28799.0,28675.0,28690.0,6661.0,4679.0
2017-06-19,28650.0,28650.0,28526.0,28542.0,7623.0,4818.0
2017-06-20,28533.0,28599.0,28487.0,28526.0,8385.0,5078.0
2017-06-21,28590.0,28634.0,28448.0,28577.0,8442.0,5070.0
2017-06-22,28645.0,28749.0,28620.0,28629.0,7354.0,4743.0
2017-06-23,28683.0,28820.0,28680.0,28734.0,7126.0,4822.0
2017-06-26,28450.0,28527.0,28350.0,28510.0,5242.0,4987.0
2017-06-27,28480.0,28648.0,28473.0,28553.0,9563.0,5452.0
2017-06-28,28610.0,28725.0,28508.0,28567.0,9939.0,5721.0
2017-06-29,28623.0,28629.0,28431.0,28608.0,10696.0,6005.0
2017-06-30,28609.0,28609.0,28405.0,28439.0,9164.0,5891.0
2017-07-03,28421.0,28421.0,28067.0,28086.0,13165.0,6225.0
2017-07-04,28073.0,28213.0,28073.0,28115.0,7973.0,6270.0
2017-07-05,28170.0,28191.0,28005.0,28107.0,11925.0,6353.0
2017-07-06,28170.0,28188.0,28092.0,28116.0,8584.0,6306.0
2017-07-07,28050.0,28118.0,27724.0,27784.0,13698.0,6833.0
2017-07-10,27732.0,27820.0,27603.0,27794.0,11049.0,6583.0
2017-07-11,27742.0,27870.0,27678.0,27834.0,8992.0,6911.0
2017-07-12,27915.0,27977.0,27802.0,27851.0,9286.0,6812.0
2017-07-13,27950.0,27957.0,27812.0,27837.0,7667.0,6732.0
2017-07-14,27823.0,28073.0,27771.0,27996.0,10353.0,6465.0
2017-07-17,28050.0,28143.0,28025.0,28120.0,8854.0,6716.0
2017-07-18,28138.0,28285.0,28125.0,28253.0,8883.0,6227.0
2017-07-19,28255.0,28260.0,28121.0,28250.0,8182.0,6006.0
2017-07-20,28217.0,28380.0,28131.0,28331.0,10717.0,5951.0
2017-07-21,28327.0,28559.0,28283.0,28541.0,7654.0,5965.0
2017-07-24,28563.0,28610.0,28500.0,28516.0,7133.0,5867.0
2017-07-25,28538.0,28579.0,28392.0,28478.0,9356.0,5494.0
2017-07-26,28400.0,28403.0,28304.0,28384.0,7807.0,5294.0
2017-07-27,28600.0,28607.0,28367.0,28476.0,9932.0,4532.0
2017-07-28,28477.0,28595.0,28395.0,28580.0,7421.0,3472.0
2017-07-31,28473.0,28620.0,28467.0,28557.0,5804.0,928.0
2017-08-01,28521.0,28569.0,28350.0,28404.0,1034.0,563.0
2017-08-02,28420.0,28509.0,28400.0,28437.0,408.0,201.0
2017-08-03,28383.0,28499.0,28300.0,28487.0,74.0,108.0
2017-08-04,28537.0,28630.0,28325.0,28406.0,9216.0,6723.0
2017-08-07,28389.0,28488.0,28372.0,28457.0,5200.0,6816.0
2017-08-08,28462.0,28529.0,28300.0,28379.0,8520.0,6634.0
2017-08-09,28520.0,28865.0,28520.0,28844.0,10510.0,6919.0
2017-08-10,28900.0,29223.0,28900.0,29176.0,11248.0,6784.0
2017-08-11,29199.0,29295.0,29071.0,29203.0,10908.0,6850.0
2017-08-14,29114.0,29163.0,29023.0,29080.0,7632.0,6575.0
2017-08-16,28950.0,28970.0,28800.0,28952.0,9705.0,6635.0
2017-08-17,29050.0,29229.0,29050.0,29151.0,9184.0,6700.0
2017-08-18,29170.0,29443.0,29075.0,29163.0,13290.0,6685.0
2017-08-21,29125.0,29314.0,29079.0,29283.0,9854.0,7216.0
2017-08-22,29238.0,29238.0,29036.0,29105.0,10052.0,6881.0
2017-08-23,29106.0,29214.0,29074.0,29164.0,8269.0,7313.0
2017-08-24,29142.0,29182.0,29046.0,29099.0,7539.0,7205.0
2017-08-25,29096.0,29224.0,28777.0,29167.0,7626.0,7088.0
2017-08-28,29195.0,29518.0,29173.0,29503.0,10798.0,6918.0
2017-08-29,29550.0,29937.0,29550.0,29662.0,13127.0,7155.0
2017-08-30,29641.0,29641.0,29466.0,29555.0,10387.0,7148.0
2017-08-31,29500.0,29767.0,29412.0,29745.0,10310.0,7506.0
2017-09-01,28775.0,28814.0,28657.0,28771.0,9541.0,6273.0
2017-09-04,30011.0,30267.0,30011.0,30105.0,8886.0,7142.0
2017-09-05,30178.0,30243.0,29955.0,30223.0,12052.0,7693.0
2017-09-06,30245.0,30286.0,30035.0,30075.0,9030.0,7374.0
2017-09-07,30076.0,30368.0,30055.0,30282.0,10825.0,7501.0
2017-09-08,30382.0,30474.0,30210.0,30268.0,10511.0,7268.0
2017-09-11,30200.0,30200.0,29917.0,29933.0,7590.0,6854.0
2017-09-12,29911.0,29971.0,29820.0,29943.0,8280.0,6702.0
2017-09-13,29999.0,30058.0,29820.0,29886.0,9708.0,6827.0
2017-09-14,29807.0,30050.0,29765.0,30010.0,11103.0,6815.0
2017-09-15,30022.0,30040.0,29825.0,29856.0,9542.0,6303.0
2017-09-18,29820.0,29820.0,29538.0,29547.0,9044.0,5967.0
2017-09-19,29566.0,29682.0,29546.0,29621.0,8622.0,5711.0
2017-09-20,29693.0,29799.0,29680.0,29774.0,7919.0,5648.0
2017-09-21,29555.0,29623.0,29443.0,29564.0,11619.0,5392.0
2017-09-22,29650.0,29746.0,29556.0,29585.0,8580.0,5202.0
2017-09-25,29510.0,30129.0,29510.0,30039.0,10180.0,4937.0
2017-09-26,30100.0,30169.0,29780.0,29872.0,11178.0,4544.0
2017-09-27,29840.0,29928.0,29626.0,29658.0,9280.0,4343.0
2017-09-28,29663.0,29686.0,29522.0,29608.0,8433.0,3711.0
2017-09-29,29604.0,29671.0,29526.0,29557.0,7789.0,1411.0
2017-10-03,29500.0,29500.0,29300.0,29355.0,1051.0,818.0
2017-10-04,29413.0,29455.0,29260.0,29290.0,313.0,359.0
2017-10-05,29414.0,29500.0,29370.0,29387.0,5779.0,8004.0
2017-10-06,29361.0,29598.0,29312.0,29573.0,10412.0,7547.0
2017-10-09,29698.0,29772.0,29664.0,29732.0,5831.0,7303.0
2017-10-10,29780.0,29859.0,29751.0,29825.0,7043.0,7384.0
2017-10-11,29780.0,29822.0,29690.0,29707.0,6101.0,7128.0
2017-10-12,29775.0,29900.0,29710.0,29814.0,6812.0,7107.0
2017-10-13,29805.0,29868.0,29720.0,29851.0,8187.0,6779.0
2017-10-16,0.0,0.0,0.0,29989.0,0.0,0.0
2017-10-17,0.0,0.0,0.0,30032.0,0.0,0.0
2017-10-18,0.0,0.0,0.0,29989.0,0.0,0.0
2017-10-19,0.0,0.0,0.0,30032.0,0.0,0.0
